Date,Close/Last,Volume,Open,High,Low
03/12/2024,$61.41,16613060,$60.95,$61.565,$60.645
03/11/2024,$60.66,14153970,$60.10,$60.71,$59.87
03/08/2024,$60.12,12143650,$60.00,$60.28,$59.73
03/07/2024,$60.36,16195300,$61.00,$61.0699,$60.345
03/06/2024,$60.57,12698710,$60.12,$60.62,$60.04
03/05/2024,$60.04,19676880,$59.87,$60.34,$59.575
03/04/2024,$59.30,16033300,$58.50,$59.39,$58.40
03/01/2024,$58.76,19030920,$58.80,$58.85,$58.20
02/29/2024,$58.61,29245140,$59.45,$59.49,$58.59
02/28/2024,$59.62,14803290,$59.55,$59.76,$59.31
02/27/2024,$59.59,18012750,$59.64,$59.80,$59.22
02/26/2024,$59.60,32154770,$59.12,$59.84,$58.18
02/23/2024,$58.52,74365777,$58.6967,$59.2167,$58.4367
02/22/2024,$58.47,29512938,$57.96,$58.49,$57.77
02/21/2024,$57.90,40551544,$58.3333,$58.5267,$57.60
02/20/2024,$58.62,71788627,$59.4933,$60.45,$58.41
02/16/2024,$56.7867,22373543,$56.7633,$57.31,$56.43
02/15/2024,$56.43,16948859,$56.60,$56.6167,$55.99
02/14/2024,$56.20,18484604,$56.25,$56.2917,$55.8467
02/13/2024,$56.38,18574217,$56.8733,$57.0233,$56.09
02/12/2024,$56.7667,14795041,$56.41,$56.7867,$56.35
02/09/2024,$56.4267,14329867,$56.4633,$56.5767,$56.3067
02/08/2024,$56.4567,14427928,$56.46,$56.85,$56.38
02/07/2024,$56.46,17082467,$56.7567,$56.8867,$56.40
02/06/2024,$56.6033,14189785,$56.2633,$56.65,$56.1133
02/05/2024,$56.22,19145072,$56.67,$56.67,$56.0233
02/02/2024,$56.5233,21670688,$56.05,$56.8583,$55.9733
02/01/2024,$56.1033,20792555,$55.2333,$56.118,$55.06
01/31/2024,$55.0833,26134878,$55.9333,$55.9333,$55.0367
01/30/2024,$55.1967,15270014,$54.90,$55.2683,$54.54
01/29/2024,$55.0133,18240314,$54.7833,$55.135,$54.5067
01/26/2024,$54.7567,15746312,$54.35,$54.7933,$54.22
01/25/2024,$54.28,16369604,$53.80,$54.29,$53.4733
01/24/2024,$53.50,22932863,$54.30,$54.355,$53.44
01/23/2024,$54.2667,12066517,$54.04,$54.2833,$53.9233
01/22/2024,$54.13,13938382,$54.2633,$54.3167,$53.8333
01/19/2024,$54.1267,19175297,$54.4767,$54.5233,$53.8133
01/18/2024,$54.4133,18190613,$53.72,$54.4633,$53.56
01/17/2024,$53.69,14827663,$53.7933,$53.995,$53.5433
01/16/2024,$53.9433,17032592,$53.8133,$54.1333,$53.7433
01/12/2024,$53.7733,13628968,$53.79,$53.8483,$53.46
01/11/2024,$53.7033,14355208,$53.7833,$53.9633,$53.39
01/10/2024,$53.7633,20122040,$53.1867,$53.8334,$53.1867
01/09/2024,$53.1033,23322380,$52.6433,$53.1133,$52.5767
01/08/2024,$52.75,20680880,$52.2333,$52.765,$52.225
01/05/2024,$52.2367,21709505,$52.64,$52.70,$51.8667
01/04/2024,$52.5867,19282472,$53.07,$53.18,$52.4967
01/03/2024,$53.10,18756062,$53.2567,$53.4333,$52.9767
01/02/2024,$53.0967,23539679,$52.4167,$53.1783,$52.3967
12/29/2023,$52.55,21948200,$52.51,$52.6933,$52.3867
12/28/2023,$52.5233,16776068,$52.59,$52.7767,$52.50
12/27/2023,$52.6267,19895966,$52.1033,$52.6483,$52.0533
12/26/2023,$52.1367,11679964,$52.2167,$52.33,$52.0367
12/22/2023,$52.2167,19405643,$51.8167,$52.3833,$51.7184
12/21/2023,$51.60,20087786,$51.3333,$51.6867,$51.3017
12/20/2023,$51.2367,21967703,$51.8067,$52.0467,$51.2067
12/19/2023,$51.8433,24417095,$51.6133,$51.8967,$51.3633
12/18/2023,$51.6567,26316015,$51.1167,$51.69,$51.0433
12/15/2023,$50.9133,70003597,$50.5933,$51.1533,$50.5133
12/14/2023,$50.7233,30891273,$51.1733,$51.3133,$50.6433
12/13/2023,$51.35,35348674,$50.5167,$51.35,$50.2133
12/12/2023,$50.4533,21382022,$50.4067,$50.5667,$50.0767
12/11/2023,$50.4133,31883253,$50.38,$50.4833,$49.8467
12/08/2023,$50.2867,34069473,$50.6667,$50.7367,$50.08
